Gene	Symbol
CDCA7	CDCA7
CIR1	CIR1P1
CHN1	CHN1
ATP5MC3	ATP5MC3
HOXD8	HOXD8
PDE11A	PDE11A
FKBP7	FKBP7
TTN	TTN
LINC01934	LINC01934
ITGA4	ITGA4
ZNF804A	ZNF804A
FSIP2-AS1	FSIP2-AS1
ITGAV	ITGAV
FAM171B	FAM171B
TFPI	TFPI
COL3A1	COL3A1
COL5A2	COL5A2
WDR75	WDR75
SLC40A1	SLC40A1
STAT1	STAT1
MYO1B	MYO1B
NABP1	NABP1
CAVIN2	CAVIN2
LINC01825	LINC01825
HECW2-AS1	HECW2-AS1
C2orf66	C2orf66
HSPD1	HSPD1
HSPE1	HSPE1
SGO2	SGO2
LINC01792	LINC01792
CFLAR	CFLAR
WDR12	WDR12
CD28	CD28
CTLA4	CTLA4
ICOS	ICOS
NRP2	NRP2
MDH1B	MDH1B
MYOSLID	MYOSLID
LINC01857	LINC01857
IDH1	IDH1
PTH2R	PTH2R
LINC01878	LINC01878
IKZF2	IKZF2
MREG	MREG
XRCC5	XRCC5
DIRC3	DIRC3
TNS1	TNS1
CATIP-AS1	CATIP-AS1
SLC11A1	SLC11A1
TTLL4	TTLL4
CYP27A1	CYP27A1
TUBA4A	TUBA4A
PTPRN	PTPRN
EPHA4	EPHA4
ACSL3	ACSL3
SCG2	SCG2
WDFY1	WDFY1
SERPINE2	SERPINE2
FAM124B	FAM124B
DOCK10	DOCK10
TM4SF20	TM4SF20
CCL20	CCL20
ITM2C	ITM2C
GPR55	GPR55
SPATA3-AS1	SPATA3-AS1
PSMD1	PSMD1
ARMC9	ARMC9
B3GNT7	B3GNT7
NCL	NCL
PTMA	PTMA
NPPC	NPPC
ECEL1	ECEL1
PRSS56	PRSS56
EFHD1	EFHD1
SAG	SAG
DGKD	DGKD
SH3BP4	SH3BP4
ACKR3	ACKR3
COL6A3	COL6A3
MLPH	MLPH
LRRFIP1	LRRFIP1
RAMP1	RAMP1
ERFE	ERFE
GPR35	GPR35
KIF1A	KIF1A
PASK	PASK
BOK-AS1	BOK-AS1
THAP4	THAP4
DTYMK	DTYMK
PDCD1	PDCD1
IL5RA	IL5RA
ITPR1	ITPR1
BHLHE40-AS1	BHLHE40-AS1
BHLHE40	BHLHE40
LMCD1-AS1	LMCD1-AS1
LMCD1	LMCD1
CAMK1	CAMK1
EMC3	EMC3
IRAK2	IRAK2
HRH1	HRH1
VGLL4	VGLL4
TIMP4	TIMP4
PPARG	PPARG
TMEM40	TMEM40
IQSEC1	IQSEC1
GRIP2	GRIP2
SH3BP5	SH3BP5
EAF1	EAF1
ANKRD28	ANKRD28
RFTN1	RFTN1
SGO1	SGO1
NR1D2	NR1D2
THRB	THRB
NEK10	NEK10
SLC4A7	SLC4A7
EOMES	EOMES
LINC01980	LINC01980
CMC1	CMC1
CCR4	CCR4
GLB1	GLB1
CTDSPL	CTDSPL
TTC21A	TTC21A
XIRP1	XIRP1
CX3CR1	CX3CR1
CCR8	CCR8
MOBP	MOBP
LINC02158	CCDC13-AS2
ABHD5	ABHD5
ZNF445	ZNF445
KIF15	KIF15
CDCP1	CDCP1
SLC6A20	SLC6A20
CXCR6	CXCR6
CCR1	CCR1
CCR5	CCR5
LTF	LTF
TMIE	TMIE
CDC25A	CDC25A
PFKFB4	PFKFB4
UQCRC1	UQCRC1
CCDC36	IHO1
TRAIP	TRAIP
GNAT1	GNAT1
LSMEM2	LSMEM2
IFRD2	IFRD2
ZMYND10	ZMYND10
TEX264	TEX264
RRP9	RRP9
ALAS1	ALAS1
TNNC1	TNNC1
STAB1	STAB1
GNL3	GNL3
STIMATE	STIMATE
ABI3BP	ABI3BP
IMPG2	IMPG2
ALCAM	ALCAM
LINC00882	LINC00882
IFT57	IFT57
MYH15	MYH15
CIP2A	CIP2A
DPPA4	DPPA4
ZBED2	ZBED2
PLCXD2-AS1	PLCXD2-AS1
TAGLN3	TAGLN3
CD200	CD200
CCDC80	CCDC80
ATP6V1A	ATP6V1A
ZNF80	ZNF80
TIGIT	TIGIT
CD80	CD80
ADPRH	ADPRH
POPDC2	POPDC2
MAATS1	CFAP91
GTF2E1	GTF2E1
POLQ	POLQ
CD86	CD86
CSTA	CSTA
CCDC58	MIX23
PARP14	PARP14
ITGB5	ITGB5
SLC12A8	SLC12A8
MCM2	MCM2
MGLL	MGLL
RUVBL1	RUVBL1
GATA2	GATA2
RPN1	RPN1
GP9	GP9
PLXND1	PLXND1
MRPL3	MRPL3
TOPBP1	TOPBP1
MRAS	MRAS
CEP70	CEP70
FAIM	FAIM
ZBTB38	ZBTB38
ATP1B3	ATP1B3
TM4SF1	TM4SF1
RNF13	RNF13
SIAH2	SIAH2
GPR171	GPR171
P2RY14	P2RY14
GPR87	GPR87
SUCNR1	SUCNR1
RAP2B	RAP2B
ARHGEF26	ARHGEF26
MME	MME
LINC00880	LINC00880
SHOX2	SHOX2
MLF1	MLF1
MFSD1	MFSD1
C3orf80	C3orf80
SMC4	SMC4
B3GALNT1	B3GALNT1
GOLIM4	GOLIM4
RPL22L1	RPL22L1
TNFSF10	TNFSF10
NCEH1	NCEH1
TBL1XR1-AS1	TBL1XR1-AS1
GNB4	GNB4
