Gene	Symbol
AMPD2	AMPD2
GSTM4	GSTM4
GSTM2	GSTM2
GSTM1	GSTM1
GSTM5	GSTM5
GSTM3	GSTM3
EPS8L3	EPS8L3
LINC01768	LINC01768
CSF1	CSF1
AHCYL1	AHCYL1
STRIP1	STRIP1
ALX3	ALX3
LINC01397	LINC01397
UBL4B	UBL4B
SLC6A17	SLC6A17
LINC02586	KCNC4-DT
KCNC4	KCNC4
RBM15-AS1	RBM15-AS1
RBM15	RBM15
LAMTOR5-AS1	LAMTOR5-AS1
SLC16A4	SLC16A4
LAMTOR5	LAMTOR5
PROK1	PROK1
CYMP-AS1	CYMP-AS1
KCNA10	KCNA10
KCNA2	KCNA2
KCNA3	KCNA3
CD53	CD53
LRIF1	LRIF1
DRAM2	DRAM2
CEPT1	CEPT1
DENND2D	DENND2D
CHI3L2	CHI3L2
CHIA	CHIA
PIFO	CIMAP3
OVGP1	OVGP1
WDR77	WDR77
ATP5PB	ATP5PB
C1orf162	C1orf162
TMIGD3	TMIGD3
ADORA3	ADORA3
RAP1A	RAP1A
LINC01160	LINC01160
INKA2	INKA2
INKA2-AS1	INKA2-AS1
DDX20	DDX20
KCND3	KCND3
KCND3-IT1	KCND3-IT1
KCND3-AS1	KCND3-AS1
LINC01750	LINC01750
CTTNBP2NL	CTTNBP2NL
WNT2B	WNT2B
ST7L	ST7L
CAPZA1	CAPZA1
MOV10	MOV10
RHOC	RHOC
PPM1J	PPM1J
TAFA3	TAFA3
LINC01356	LINC01356
LINC01357	SLC16A1-AS1
SLC16A1	SLC16A1
SLC16A1-AS1	SLC16A1-AS1
LRIG2-DT	LRIG2-DT
LRIG2	LRIG2
MAGI3	MAGI3
PHTF1	PHTF1
RSBN1	RSBN1
PTPN22	PTPN22
AP4B1-AS1	AP4B1-AS1
BCL2L15	BCL2L15
AP4B1	AP4B1
DCLRE1B	DCLRE1B
HIPK1-AS1	HIPK1-AS1
HIPK1	HIPK1
OLFML3	OLFML3
SYT6	SYT6
TRIM33	TRIM33
BCAS2	BCAS2
DENND2C	DENND2C
AMPD1	AMPD1
NRAS	NRAS
CSDE1	CSDE1
SIKE1	SIKE1
SYCP1	SYCP1
TSHB	TSHB
TSPAN2	TSPAN2
LINC01765	LINC01765
NGF-AS1	NGF-AS1
NGF	NGF
VANGL1	VANGL1
CASQ2	CASQ2
NHLH2	NHLH2
LINC01649	LINC01649
SLC22A15	SLC22A15
MAB21L3	MAB21L3
LINC01779	LINC01779
ANXA9	ANXA9
MINDY1	MINDY1
PRUNE1	PRUNE1
BNIPL	BNIPL
C1orf56	C1orf56
CDC42SE1	CDC42SE1
MLLT11	MLLT11
GABPB2	GABPB2
SEMA6C	SEMA6C
TNFAIP8L2	TNFAIP8L2
SCNM1	SCNM1
LYSMD1	LYSMD1
TMOD4	TMOD4
VPS72	VPS72
PIP5K1A	PIP5K1A
PSMD4	PSMD4
ZNF687-AS1	ZNF687-AS1
ZNF687	ZNF687
PI4KB	PI4KB
RFX5	RFX5
SELENBP1	SELENBP1
PSMB4	PSMB4
POGZ	POGZ
CGN	CGN
TUFT1	TUFT1
SNX27	SNX27
CELF3	CELF3
RIIAD1	RIIAD1
MRPL9	MRPL9
OAZ3	OAZ3
TDRKH	TDRKH
TDRKH-AS1	TDRKH-AS1
LINGO4	LINGO4
RORC	RORC
C2CD4D	C2CD4D
C2CD4D-AS1	C2CD4D-AS1
THEM5	THEM5
THEM4	THEM4
S100A10	S100A10
S100A11	S100A11
TCHHL1	TCHHL1
TCHH	TCHH
RPTN	RPTN
FLG-AS1	CCDST
AL589986.2	CCDST
HRNR	HRNR
FLG	FLG
FLG2	FLG2
CRNN	CRNN
LCE5A	LCE5A
CRCT1	CRCT1
LCE3E	LCE3E
LCE3D	LCE3D
LCE3C	LCE3C
LCE3B	LCE3B
LCE3A	LCE3A
LCE2D	LCE2D
LCE2C	LCE2C
LCE2B	LCE2B
LCE2A	LCE2A
LCE4A	LCE4A
C1orf68	KPLCE
KPRP	KPRP
LCE1F	LCE1F
LCE1E	LCE1E
LCE1D	LCE1D
LCE1C	LCE1C
LCE1B	LCE1B
LCE1A	LCE1A
LCE6A	LCE6A
SMCP	SMCP
IVL	IVL
LINC01527	LINC01527
SPRR5	SPRR5
SPRR4	SPRR4
SPRR1A	SPRR1A
SPRR3	SPRR3
SPRR1B	SPRR1B
SPRR2D	SPRR2D
SPRR2A	SPRR2A
SPRR2B	SPRR2B
SPRR2E	SPRR2E
SPRR2F	SPRR2F
SPRR2G	SPRR2G
LELP1	LELP1
PRR9	PRR9
LOR	LORICRIN
PGLYRP3	PGLYRP3
PGLYRP4	PGLYRP4
S100A9	S100A9
S100A12	S100A12
S100A8	S100A8
S100A7A	S100A7A
S100A7L2	S100A7L2
S100A7	S100A7
S100A6	S100A6
S100A5	S100A5
S100A4	S100A4
S100A3	S100A3
S100A2	S100A2
S100A16	S100A16
S100A14	S100A14
S100A13	S100A13
S100A1	S100A1
CHTOP	CHTOP
SNAPIN	SNAPIN
ILF2	ILF2
NPR1	NPR1
INTS3	INTS3
SLC27A3	SLC27A3
GATAD2B	GATAD2B
DENND4B	DENND4B
CRTC2	CRTC2
SLC39A1	SLC39A1
CREB3L4	CREB3L4
JTB	JTB
RAB13	RAB13
RPS27	RPS27
NUP210L	NUP210L
TPM3	TPM3
C1orf189	CFAP141
C1orf43	LTAP1
UBAP2L	UBAP2L
HAX1	HAX1
AQP10	AQP10
ATP8B2	ATP8B2
IL6R-AS1	IL6R-AS1
IL6R	IL6R
SHE	SHE
TDRD10	TDRD10
UBE2Q1	UBE2Q1
UBE2Q1-AS1	UBE2Q1-AS1
CHRNB2	CHRNB2
ADAR	ADAR
KCNN3	KCNN3
PMVK	PMVK
PBXIP1	PBXIP1
PYGO2	PYGO2
AL451085.2	PYGO2-AS1
SHC1	SHC1
CKS1B	CKS1B
FLAD1	FLAD1
LENEP	LENEP
ZBTB7B	ZBTB7B
DCST2	DCST2
DCST1	DCST1
DCST1-AS1	DCST1-AS1
ADAM15	ADAM15
EFNA4	EFNA4
EFNA3	EFNA3
EFNA1	EFNA1
